text,label
udaw karanna...mata rogi biyak athiwela thiyenawa me lagadhi idan,1
adarayedi mage awawadhaya  kawadawath bokken karanna epa,0
ithin reject wena eka loku manasika peedanayak,1
mama priyamanapa na mama watinne na kiyana hangeema mata wadha denawa hithata. mona tharam de karath agayak na. waradak nokalath waradhikari hangeem danenawa,1
kochchara hitha haiya karaganna haduwath samaje balapam nisa durwala wela loku kalakirimak dukak danenawa,1
boruda danne na ,0
raata nindha yanne na...kanna hithenne na...kisima sathutak na...kenthi yanawa...wadi wunoth nikan marenna hithenawa...thamanta hurt karaganna hthenawa....owa thamai,1
aadhiwa hambawenna one....man eyata kemathi,0
eya ekka inna godak amarui. mata jeewithe kalakirila thiyenne. iwasala iwasala thawath iwasanna baruwa inne. hamadema athaharala daala yanna hithenawa. mama meka manasikawa godak widhawanawa,1
adharaya heenayakma thamai kawadawath saba nowena,0
loku manasika peedanayaka inne dawasama andanawa. tharaha gannawa kisima wadak karanna hithenne na. padam wadath maga nathara wela. mata manasa eka thanakata ganna amarui.,1
mata bayak danenawa thaniwela kiyala hithenawa. prathikshema wela wage danenawa eya boruwak karanawa kiyalama hithenawa. mama rawatuna wage danenawa,1
mata mage athithaya amathaka karanna one ,0
yaluwek nathi wela adha vakugadu wishabeejayak gihin niwansuwa nangiyoo,0
eka eka sidhuweem mathak wenakota mage hithata dukak danenawa,0
mata padam wada tika karana ekath epa wela thiyenne ,1
matath waradhuna mamath paradhuna therum ganna bari hadhawathakata,0
galapena aya hamuwenawa..eka loke hati,0
wiwahaya epa wela inne godak hethu nisa,1
ayeth liyanna hithenawa...aye liwwoth liyawewi,0
amith ayya banna ehenam kollo api giya,0
mata gedara ayath ekka kisima hethuwak nathuwa tharaha yanawa eyala katha karana sadde ahunath mata godak tharaha yanawa,1
mata godak tharaha yanawa,1
sathutin sitime rahasa,0
viraga ragaya athare thani wunu aalaya witharai ,0
ada mama sathutin inne,0
meka dakina hamoma sathutin inna,0
raata nindha yanne na nindha giyath podi welawakin aharenawa angata apahasuwak wage danenawa,1
gedara ayath ekka katha karanne na hariyata mama godak welawata kamareta welama innawa,1
sirawela nawathila nathinam seemawaka,0
nitharama andanna hithenawa duka hithenawa,1
hitha giya ayata kello hitiya...eh kellanta kollo hitiya,0
mata kawruth na kiyala hithenawa welawakata thaniyama nikanma andenawa,1
okkoma hodai. samahara sindhu ahenakota awissena mathaka thamai prashne,0
gedara ayath wenaskam karanawa kiyala hithenawa nitharama,1
mata hithe duka thiyenakota oluwa ridhenawa nitharama,1
"hamadama pandhara 2,3 wenakan balan inna ba. anika ada sellam karannath giya nisa hari mahansi",0
welawakata mokakda karanne kiyalawath therenne na,1
wadhuna wadhillak komada dannawada wakugadu ambarila giya,0
hitha godak nosansun agata pana naa wage nitharama mahansi,1
amma ahanawa pissuda kiyala thaniyama hina wewi natanne kiyala,0
monawath keranna hithenne na ,1
natawenawa dan nam,0
"mata ka ekka hari katha karaddi kohomada katha karanne, ahana deta pilithuru denne kohomada wage dewal therenne naa",0
mama mage aramunu walata yaddi mawa kadan watenawa mata nitharama mathak wenawa mama durwalai kiyala,1
"kawadawath ehema hithannepa, ekama balayak kara ganna. obata puluwani",0
mamath kamathi godak thaniyama inna,0
sudusukam thibilath rekiya walata kochchara apply karath mata labenne na. dan wayasa 29k wenawa. me gana mng loku manasika peedanayaka inne ,1
welawakata jeewithaya nathykeraganna tharam hithenawa. aththatama mata meeta awuruddakata kalin hitapu thathweta aye enna one,1
nitharama nida ganna..kammali gathiya..padam kireemata alasa gathiya...kal dameema..,0
"thamange asoochi, malapaha weni de walata athy baya, kuthuhalaya, dukweema, dawasata 3 parak withara snanaya karana ",1
kuda kala patan mata pirisak idiriye kathakeranna giyama hugak baya hithenewa,0
job interview ekakata muhuna dennawath mata shakthiyak naa,0
kenek ekka katha karanna oni widiha dannaa kiyanna ahanna dewal ennathuwa hirawela,0
"thaman adare karana kena wena kollek ekka katha karaddi, yalukam thiyagaddi tharaha yanne ay",0
eya nathuwa inna baa,0
mata daraganna bari loku dukak dunnama aga godak wewulanawa,0
hamawelawema mata kawuruth naa mama thani wela,1
mama kawuruhari ekka katha karaddi kalabaleng wage katha karanne,0
mama priyamanapa naa mama watinne na kiyana hengeema mata wada denawa ,1
kochchara hitha hai karanna haduwath bahira samaje balapema nisa hitha durwala wela loku kalakireemak dukak ath wenawa,1
kawada hari eida nedda dan naa eth e dawasa enakam balan innawa,0
mama katha karanakota wachana gotha gahenawa,0
reta ninda yan naa...kanna hithen naa..kenthi yanawa...nikan marenna wage hithenawa,1
paule prashna nisa manasikawa watila inne,1
gedara idala athy wela thinne.welawakata hemadama epa wenawa.marenna tharam hithenawa,1
hemadema athaarala dala ratakata yanna hithenawa,1
eka eka siduweem mathak wenakota mage hithata dukak denenawa..ethanin ehata kisima wadak mata karagena yanna hithenne naa,1
vivahaya epa wela inne godak hethu nisa,1
mata gedara ayath ekka kisima hethuwak nethuwa tharaha yanawa eyala katha karana sadde ahunath mata godak tharaha yanawa,1
nitharama andanna hithenawa duka hithenawa mata kawuruth na kiyala hithenawa welawakata thaniyama nikanma andenawa,1
oluwa ridenawa nitharama welawakata mokakda keranne kiyalawath therenne na hitha godak nosansun agata pana na wage nitharama ,1
mama kaa laga hari issara idan mage athsana gahaddi hari liyaddi hari mage atha wewulanawa,0
pirisak iddi 4n eken 4to gahanna giyath atha wewulanawa,0
kauruth balan innakota matath liyanna ba akuru amathaka wenawa,0
man kenekta adare kala.eth eya dan wena kenek marry karala inne. mata e de hinda depression wage. eyage photo ehema dakiddi mata marenna tharam tharahai,1
mata roga biyak athywela thiyenawa me lagadi idala..mata denata sathi dekakata kalin podi sathkamak kala....mata marenna hithuna,0
papuwa pichchenna gaththa baye eka marama amarui daraganna...kalantheta allanawa wamaneta wage kannath ba......mata marennna hithuna,1
mama loan dekak aragena bayen inne gewaganna bari wei kiyala.,0
weda thibunath e ekakwath nokara kalpana kara kara innamai hithenne,0
mata thada manasika peedanayak awilla... man podi operation ekakata baya una hodatama.aga seethala wela.kanna bariwa giya,1
mata ninda yanne na..ninda yagena enakota oluwa athulen gahila nagitinawa,1
api vivaha wela denata awurudu dekak awurudu dekak yanakota mata vivahaya epauna,1
mata sthanochitha praghnawa agui godak.e nisa mang godak anith aya issaraha hellu wela thiyenawa,0
mam ikmanata kalabala wenawa kenthi gannawa.monawa hari karanna giyama baya wenawa..kara ganna puluwan unath baya nisa kara ganna bari wenawa,1
mam thaniwenna bayai..adare karana aya nathi wenawata bayai..mata eka dara ganna baa..pita gihin thaniyama nawathila weda karanna baa..ninda yanne naa..,1
"mage hithe loku bayak proposal walata thiyenawa,raata heenen baya wenawa e wage dewal dakala ",1
pita pirimiyek wishwasa karanna bari manasika prashnayak thiyenawa,1
mage hitha harima nosansun.oniwata wada hithala mang koi weleka hari naharayak pupurala marila yai kiyala hithenawa,1
prashnekata moona denna amarui abhiyoga walata bayai mang,1
mata podi kale indalama jeewithen panala yanna hithenawa. panala gihin kohe hari hangenna wage hageemak danenawa,1
usa than dakkahama naginna giyoth aga wewulanawa dadiya dala kakul pana nathy wenawa hiri watenawa,0
paudgalika getalu keepayak nisa mang godak manasikawa watila inne me dawaswala. jeewithaya nathykara ganna pawa hithenawa,1
mama samahara prashnawaladi adhika kenthi yanawa. godak hithanawa. manasika watenawa mama nitharama.,1
"""mang hithanne mata depression"" mata marenna hithenawa",1
math podi kale idan niyapothu hapanawa. thama mata eka nawaththa ganna bari una.,0
mama me welawe kiyanna bari tharam dukakin  inne..puluwan nam mama inna thathwe therum aragena mata udau karanna,1
mata ikmanata duka hithenawa ikmanata kethi yanawa ikmanata adenawa.,1
mama kohomada jeewath wenne eyawa mathak wewi..mata eyawa hoyan yanna hithenawa.mama mokada karanne mata jeewath wenna ba me widiyata,1
vishadaya rogaya nisa jeewithaya epa wela kalakirila adaraya hithenne nehe denenne nehe,1
mata getaluwak awama manasikawa loku peedanayakata path wenawa. mama godak andanawa.duk wenawa,0
durakathanaya bhawithaya awama karaganna karanna ona,0
mata tikak mahath wenna ona. mama godakmanasika watila inne me kettu bawa nisa welawakata mata epa wenawa,0
mata samaja bheethikawa kiyana rogaya thiyenawa,0
"tikak therena kalayedi mama samalingika kenek kiyala therum gaththa. mul kalayedi mama mawama prathikshepa karath, pasukaleenawa mama mawama piligaththa",0
arakku beela weriwena eka mata athal ekak ,0
mang boowena leda walata bayai ,0
bendeem nathy jeewithayath maha epa wenawa hema deyakma ,0
ow mama pissek,1
hamadema epa wela wage hithenne ay... kisideyak karanna hithenne na,0
mata hariyata mokuth kara ganna bari unama hithata puduma tharahak enne...e welawata mang matama thuwala kara gannawa,1
mang adika lesa kuduwalata abbahi wela  inne.mata meka nawaththa ganna baa. marenna wenne mehema giyoth,1
corona nisa mage siyaluma wada passata gihin thiyenne,0
corona nisa mage arthike hodatama watila..jeewath wenna kramayak naa.marenna wenne mehema giyoth,1
adarayak nisa jeewithe epa wela inne,1
mage jeewithe anagathe gana thibba balaporoththu okkoma sunwela giya,0
mata hitha eka aramaunaka thiya ganna baa,0
mata dura gamanak yanakota wamane yanawa..eka mata maha wadayak,0
mage hitha godak kalabalai,0
adata watuna gaman ninda yanawa.. mata palane karanna baa.. mata nidimatha enawa godak,0
"hitha mang karana wadeta yomu wennema na ne, mang koi weleth inne mano loka walamai",0
loku manasika peedanayska inne dawasama adanawa.tharaha gannawa kisima wadak karanna hithennaa padam wadath maga nathara wela,1
mage dawase wada kisima deyak karanna hitha dennaa e siddiyama mathak wenawa saha mata wedanawath samaga kenthiyak enawa,1
eya giyata passe. mata marenna hithuna ,1
ninda yanne na wahala udata nagala hoo kiyanna hithenawa,1
samanya jeewithaya gewana ayek thaniwama katha karana puruddak thiyanawa mata ,1
mata ada karanna thiyena wada hetata kal dannamai hithenne.kochchara karanna haduwath ba ada karanna,0
mata kegahala adanna hithenawa,0
samahara welawata mata hithala hithalama wamane yanawa. penumen godak katha wela.hithaganna bari tharam wenas wela,1
mata gedara eka eka prashna thiyanawa..gedara inna epa wela thiyenne,1
mata thaniyama bus eke gamanak yanna godak bayai,0
mama awurudu 33 pirimi pudgalayek mata kantha parshawayata hitha yanne naa..pirimi ayata witharai hitha yanne,0
mama adika lesa asabhya chithra pati baleemata purudu wela. eka mata dan maha wadayak,1
man manasika rogayakata beheth gannawa godak kall idala..mata dan mehema beheth bona ekath manasika wadayak wela thiyenne,1
mage daruwa hamadama raa nindedi muthra karanawa,0
mata hema thissema hithenawa man marewi kiyala..,0
mata heenen sudu kodi penawa,0
mata wathurata godak bayai..mata wawakata muhudakata bassama mama gilila marewi kiyala hithenawa,0
vivaha jeewithe epa wela thiyenne.. mage samiyata aniyam sambandayak thiyenawa..ohu nitharama mawa rawattanawa..me nisa mata jeewithe nathy kara ganna hithila thiyenne,1
mata us sthanayakata nagala bima balanna baa..kakul atha paya wewulanawa.yati pathul walata dadiya pawa danawa,0
mage birindawa mata penne yakek wage.ayage moona dihath mata balanna priyak naa..mata ayawa pilikul,1
denunu premaya kelawara une wen weemakin,0
heena naa dan.ithuru wela thiyenne maranaya witharai,1
hitha godak ridila mata dan kisima hageemak daneemak danenne naa..lokema pissuwak wage hithenne,1
hamadama mata ninda yanne paya 2k 3k wage....heenen baya wela nagitinawa.meka mata loku peedanayak,1
raula konde kapala piliwelata inna mang kamathy naa...mata pissek wage jeewath wenna ona ,1
me hith wala sathuta kiyanne heenayak,0
me jeewithe ikmanata iwarayak wenawa nam mama kamathy,1
mata deno dahak inna thana nagitala eka para hoo kiyanna hithenawa,1
mata bath kanna baa..bath kewama wamaneta enawa,0
samahara welawal walata mata hithenawa mata thuwala kara gena balanna,1
samaharu mata riddana dewal karanakota mata paliganna hithenawa e ayagen,0
me dawas wala hitha ridenawa ridenawa iwarayak naa..marilawath yannne naane,1
mata sarpayo dakiddi appiriyawak enawa,0
mama adhika lesa tharabaru pudgalayek.me nisa mama samajayen konwela kiyala denenawa,0
mata eka digata screen eka diha balan iddi loku oluwe kakkumak enawa,0
mata hendaawata arakku biwwe nathy unoth aga patha gahenna gannawa nawaththa ganna baa eka,0
tharahakarayek awith mata wedi thiyalawath yanne nane,1
mata muslim jaathiyath ekka puduma tharahak enne,0
siyaluma bandeem walin aath wela mahana wenna yanawa mama,1
hingamanata watenna ona minissu kauda kiyala aduna ganna,0
mata bheethikawa athy wela thiyenne.raata ninda yanne naa,1
atheethaye siduweem ude aharuna welawe indan nindata yanakanma mathak wenawa,1
akamathy minissu karapu kiyapu dewal serama oluwata wada denawa..amathaka karanna ma baa,1
jeewithe kiyanne maha pissuwak,1
jeewithe kiyana race eka duwala dan hathi mata,0
eka prashnayak iwara wenakota mata thawa prashnayak athi wenawa...ay deiyane ehema mata wenne ,1
rata jeewithe dan thiththai mata,1
heenen hadapu taj mahal eka eka bimata kadan watuna,0
minis wasayen thorawa wanagatha wela thamai inna wenne,1
mama me awurudde usas pela liyanne.mata vishadaya thiyanawa,1
mama surathal sathek hadala u marunama hithata godak dukai.adenawa,0
me loke hemoma ay mata hina wenne,1
sina thotak wiya oba pamula ma lada saradam,0
mage katin nitharama parusha wachana pitawenawa,0
mama kansa panayata godak abbahiwela kiyala mata hithenawa,0
thuwakkuwak aragena parlimenthuwe inna 225 maranna hithenawa,1
e wagema godak tharaha yanawa..welawakata mata e kopaya palanaya kara ganna bari tharam,1
man mata adare karana ayage hitha ridawanawa...e unata mata eka nawaththa ganna baa..,1
sithehi wedanawan samuganeemata jeewithayata samudeema nokala yuththaki,0
mage as wala podi abadhayak thiyenawa,0
magema kiyala heenayak thiyenawa..eth mata e dewal sebe kara ganna puluwan weida kiyala loku bayak hithata enawa,1
job eken as wenna ba gedara wiyadam nisa.mata pissu wage.theren na karanna ona de,1
kochchara kalin padam karala thibbath hemadama exam lang weddi oluwa kakkuma enawa,1
igena ganna eka manasika wadayak mata,0
mata man gana pasuthawillak athy wenawa,1
mama malagewal wala yanna bayai..ewagema appiriyawakuth enawa hithata,0
mama awamagul gewal wala kama kanna kamathy na ,0
mang karana rekiyawa gana mama thrupthimath naa..mata meka hisaradayak dan,1
mata me mulu lokema gini thiyala danna hithenawa,1
mata wahanayak athata gaththama himin yanna baa...yanna puluwan uparima wegayen yanna hithenawa,0
dakina dakina kellata hitha yanne mata witharada,0
mage pemwatha mata adare naa...mata e nisa jeewithe epa wela inne,1
mage mulu lokema gini aran adarayak nisa,1
sansare metharam katuka ay ane..kisima sanaseemak naa,1
ape kakulen adinne ape unmai,0
bandeem issaraha minissu godak asaranai,0
hina una dawasak mata mathaka naa.me jeewithe...dukamai hamadama,1
mata tharaha giyama mage age palu dala kasanna gannawa,0
me okkoma atha arala oluwa harunu athe yanna hithenawa,1
kandak udata gihin bimata baninna hithenawa,0
therumak na me jeewithe ,1
manasika peedanaya adu karaganne kohomada,1
adare kana kenawa kohomada amathaka karanne man godak dukin inne mata hitha hada ganna udau karannako,1
me widihata idala marila yanawa,1
me upathin apu deyak man godak try kala wenas karanna eth dan mekata man purudu wela wage danenawa kasadayak badinna wenne naa kawadawath mokada mama akamathy bayai wagakeem ganna me widihata innawa kiyala hitha hadagena innawa bn,0
mata wadiya yaluwo naha.mata thama kellek naa.mama kellek ekka katha karala yalukaraganna danneth naha. mokakda karanna one,0
mata 25k wenawa.hoda rassawak ehemath karanawa. mata social anxiety (samajayata moonadeeme biya/nishabdawa idama) thiyanawa,0
eya oyata karapu waradi monawahari thiyanawanam ewwa mathak weddi nikanma epa wela yanawa,0
Tv series balanna eka digatama mama loku awulak apuwama hena serious eka balanada season 4k withara yaddi oluwa hodai.,0
"oyata dawasaka therewi ehema una eka monatharam hodada kiyala..aniwaryayenma me weswalagaththa ashirwadayak.. ikmanata ma oyata sathuta, sehalluwa labenawamai,eka wishwasa karanna",0
uththarayak denna barima prashne,0
athharinna hethuwa kawuwoth oyata galapena widihata kiyannam,0
yana ayata nihandawa yannadenna. eya giye oyage waraddakin neweinam oya thawath eya gana hithala pasuthawenna epa. mang adaraya karapukenath giya. eth mang eyata waradak nokarapu nisa mata hitha hadaganna puluwan. giyapu kena dawasaka pasuthawewi,0
mage getaluwata wisandumak udauwwak denna pahasu wenna man mage methek kathawa ketiyen kiyannam,0
mage yaluwanta pawa prema sambandatha thibuna.owun kiwwe oyath yaluwenna kiyala,0
sambandhaya nawaththamu yayi ohuta kiwwath e pirimi lamaya ekata ida dunne naha.e welawe mata hithuna man waraddak neda me igena ganna kale yalu wela kale kiyala,0
"ohoma kalaya gihin ohu wena gahanu lamayek samaga sambandhayak pawathwana bawa mata denaganna lebuna. ethanin passe man godak kadan watuna ay man ohuta boru nokarath ehema mawa rawattuwe kiyala mata boru kale ay kiyala.. mata adaraya ahimi weemata wada mawa rawateema gana duka hithuna. man godak aduwa e de nisa. man aththatama tikak bolanda, sanwedi kenek..",1
godak nedeyo pawa eka eka dewal kiyanna gaththa..aththatama man e dewal walin puduma widiyata manasikawa watuna..,1
kohomahari oluwa hadagena dewana wara wibhagayata soodanam wenna gaththa. ewita thamai mata watahune mata igena ganna dewal godak maga arila kiyala.samahara guruwaru pawa mawa nosalaka hariya. wada bari lamayek lesa. nedeyan mawa sansandanaya karanna gaththa.. eka puduma tharam peedanayak una oluwata.,1
man hamadema gana onawata wada hithana nisa ehema una,1
mage hithata nitharama wada denawa ay mata mehema une..ay man ehema moda wada kare paduwe igen gaththanam man ada hoda thanaka innawane kiyala,1
aththatama o level walin passe mata mage igenuma godak maga aruna..dan therenawa notherum kamata karapu dewal wala wipaka.,0
ada mage yaluwo godak hoda than wala.mata wada pasupasin hiti ayath mawa abibawa gihin.mata hoda thanakata yanna bari wei.. mage anagathaya awinishchithai kiyana baya mata thiyenawa.. man welawakata puduma widiyata adanawa..,1
"mata dan ona mage demawpiyo wenuwen eyalata sathutu hithena, eyalawa dukak nodi balaganna puluwan hoda thanakata yanna. man dan adaraya gana hitha yomukaranne naa.man mage hitha hadaganna positive thinking, law of attraction wage godak dewal gana hoyala e dewal walin mawa kalinta wada wenas karagaththa..dan hemadetama ada ada inne naa man...namuth mage demawpiyo wenuwen hoda thanakata yanna ona mata.mokada api godak salli thiyana aya nemei ",0
man issara idanma asa man igena ganna kshethrayen idiriyata yanna.,0
mokada man daksha lamayek nisa mata maga nathara wenna hithenne naha.mage demawpiyo wenuwen man hoda thanakata yanna ona.,0
mage podi kale idan heenaya thibbe doctor kenek wela e angshaye idiriyatama yanna..eth man karapu moda wada nisa e de mata nathy una..,0
mechchara hoda demawpiyo idalath eyala man wenuwen hamadema karalath mata eyala wenuwen kisi deyak karanna bariuna kiyana pasu thawilla mage hithe thiyenawa..,1
anith aya ammagen thaththagen man gena ahaddi mata thama campus yanna bari una kiyala kiyaddi eyala kochchara apahasuthawayata path wenawada kiyala hithenawa..math ekka pasal hitapu godak yaluwo hamoma ada hoda thanwala.,0
mokada man godak sangwedi kenek nisa hitha ridawaganeem wadi.,0
masa kihipayak yaddi ekawarama ohu wenas wenna gaththa.mata hithagannawath bari widiyata.mata puduma dukak danune.hethuwak ahuwath ohu kiwwe naa.ohuta paduwe inna denna kiya kiya magen ath una..mata eka aththatama daraganna bariuna,1
mam masa ganak ohugen hethu aha aha anda anda passen giya..,1
ita tika kalekin man daanagannawa ohu ohuge kalin pemwathiya samaga sambandayak patan aran kiyala.mata puduma kalakireemak dukak awe ay apahu mata mehema une kiyala.,1
man godak manasikawa watila depression  thathwayata asanna wenakan enawa,1
vibhagayata masa kihipayakata kalin man vibhaga baya nisama ohe anda anda bayen inna kenek una.,1
anthimata kohomahari man hitha shakthimath karagena wibhagayata muhuna dunna me awurudde. wibhage liyala man puduma tharam anduwa mata me parath e de bari una neda kiyala. nedeyo eyalage lamai ekka mawa sansandanaya karanna gaththa..,1
mata hisbawa denenawa mata me loke jeewath wenna amarui mawa mekata galapenne. mata pissuda manda,1
counsellor kenekge udauwak one mata,0
"""mata marenna oni""",1
"mata hemadema epa wela inne, indala wadak naa""",1
"""mang puduma stress ekakin inne""",1
"mata thiyena prashna anith ayata kiyanna baa, eyala ewa hama thanama gihin kiyai. katada mang mewa kiyanne. mata nidahas wenna oni hama dekinma""",1
"mang thaniwela inne, mata mewa katha karanna kawuruth naa, jeewath wela mokatada?""",1
mata mekata udau karannna.. mama awurudu 23ka gahanulamayek....,0
mama hari sangwedi kenek... hamoma kiyanne as aga kandulu thiyan innawa kiyala podda aththan andanawa... mama durwalai wage mata migraine thiyenawa aduwoth oluwa ussanna baa..,0
mama adare karana kena mama diha balanna seken.. athithe weraddak allan kiyawanawa....,0
mama eyata hari adarei  mama waradi karana kenek newe.... eya hithanne mama sex hoyanawa kiyala mama ema kenek newe... eya hithanne mama wena pirimi aya ekka yanawa kiyala... mata kisima pirimi kenek inna gedarakata yanna baa aduma mage akkalagedarawath....,0
mama puduma widiyata windawanawa... mama eyata adarei adare nisa anda anda iwasan innawa...,1
mage naharayak pupurai hithana tharamatama mama adanawa maha dan ledekwage... mata thawath iwasanna baa... mata theren naa... please mata ay kiyanna meka manasika ledakda,1
man rekiyawak karanawa.e gamanma igenath gannawa.mata me rekiyawa epa wela.,1
igena ganna ekath epa wela.,1
mata igenaganna wada pawa dan epa wela thiyenne.rekiyawata yannawath kisima asawak naa.,1
ekatama inna aya mata wiwidha prashna damanawa. eth man iwasanawa. mata pawarala thiyena de man karanawa.anith ayage ewath karanawa.eth samahara welawata banum ahana wara thiyenawa,0
eershyawa hithen nathy kara ganne kohomada?,0
mokadda karanna one mama.. udau karanna.. mama wagema samarisi gahanu lamayek hoyagena badinna kiyala hithenawa..me prashna walin gelawenna..,0
igenaganna eka nawaththala marenna hithenawa.. hamadema nawaththala,1
ammalage thaththalage hith walata dukak dennath baa.. puduma widiyata asarana wela..inne..mama gay kenek kiyala kiyanna hithenawa..eth ehema kiwwoth eyalage hatiyata  eka daraganna manasak eyalata naa..,0
mata mekata hoda idea ekak dennako...loku udauwak mata mukuth hithaganna baruwa asarana wela inne,0
autism thathwaye inna daruwanta akuru uganwanna bhawitha karana krama monawada ? .,0
adare karana kenekta adare karanna..hodama pudgalaya enna parakkuwenna puluwan... e nisa kalabala wenna epa..,0
siyalu de anithyai..mage rupe eda nathywenna thathpara 30k giye naa,0
mage jeewithe anathure dagena saththunge jeewitha berala athy ananthawa...duppath kenekta kanna kama ekak hari mama nithara denawa.. e dena ashirwadayen mama mara sathutak labanawa..,0
thaththa mata eyagenui thaththagenui kenek thoraganna kiwwa... apahasuwen unath mama gaththe thaththa ge paththa..habai mata ol walata padam karanna hithadun naa..mama ohe exam liwwa.,0
mama manasikawa watila hitiye..gedarata mama murandu kenek una..ekath mata wadayak una.,1
hema mohothema hithe nidahasak naa..ohu arama karanawa athy mehema karanawa athy kiyana gindaren pichchi pichchi mama jeewath una..jeewithe nathykaraganna uthsaha kala..,1
mata samajeta munadenna godak purudu wenna una..monawa unath mage kalin adare thama mawa apahu samaja gatha kale..mama vilasitha karanawa..kotata adinawa..awashya thenata awashya widihata adinawa..amaruwen oya thyn thanama mama face kala..,0
aneka duk widhagena mama eth uthsaha karanawa...,0
ohu nitharama kiwwa deyak oya wage nemei hama kenama ahawal puthgalayawa wishwasa karanna epa kiyala..,0
obawa winasha karagena parajaya bara gannawada gindara madhdhen nagitala pennanawada....thiranaya karanna,0
thaman hari kiyala thamanta puluwan kiyala pennanna...,0
kaalayata kisi deyak karanna ba oba mokuth nokaloth. mokada suwapath weeme yathura thiyenne oba laga,0
athithaye una siduweemak nisa nitharama biya wenawa kalpana karanawa...plz kawruhari dannawa nam kiyanna..,1
facebook kerehi dhadi se abbahi wu kenekwa mudhawa ganne keseda? ,0
me hamadema hamwelema mathak wenawa man hamathissema inne duken andannathi dawasak nathi tharam,1
akamaththen deyak karanawata wada kemaththen karana de thula peratath wada sarthakathwayak athwidala thiyenawada,0
godak balaporoththu thiyagena igenagena eh balaporoththu ishta wena thanatama wada karagena ekaparatama eh nisama jeewithe epa wela,1
aasawen wada karanna hitha shakthimathwa thiyaganna bari wela anik aya kiyana widiyata jeewithe labena hodha awastha nathikaragena thiyenawa,0
anith aya ath nodhakina sapathak thamange jeewithe widhala eh siyallama eka mohothakin epa wela,0
amma katha karana samahara dewal mata aheddi mata jeewithe kalakirenawa ,1
man dan issara tharamwath kanne na man hugak nosansun marenna hithila inne,1
mata dan padam karana kisi deyak mathaka hitinne na pissu wage,1
jeewithe kalakirila,1
man loku peedanayaka inne,1
man gedarin mahana wenna awasara illuwath gedarin ida denneth naha,1
mata therenawa man out of control kiyala samahara welawata hugak kalabalakaari wela mama,1
mehema giyoth mata pissu hadhila nathara wei kiyala hithenawa,1
please mata kiyanna man mokakda karanna one,1
wiyapath kanthawan anawashya lesa tharuna wennata yaama manasika aabadhayak,0
kenekge personality eka hadaganne kohomada personality ekata adangu karunu monawada,0
mama 2020 wenakan nitharama duken hari mokak hari hitha hitha hitiya,0
